Name	Latitude	Longitude	Category	Description
For Service in Iraq and Afghanistan	33.21218	-92.66309	History	<a href='https://www.hmdb.org/m.asp?m=121766' target='_blank'>Visit the website</a> for more info.
The Gunfight on El Dorados Courthouse Square, Oct. 9, 1902	33.21219	-92.66282	History	<a href='https://www.hmdb.org/m.asp?m=121343' target='_blank'>Visit the website</a> for more info.
El Dorado Masonic Temple	33.21223	-92.66387	History	<a href='https://www.hmdb.org/m.asp?m=121976' target='_blank'>Visit the website</a> for more info.
Union County Second Courthouse	33.21246	-92.66310	History	<a href='https://www.hmdb.org/m.asp?m=121292' target='_blank'>Visit the website</a> for more info.
First Union County Courthouse	33.21269	-92.66367	History	<a href='https://www.hmdb.org/m.asp?m=121964' target='_blank'>Visit the website</a> for more info.
Columbia County Calhoun Pioneer Settlement	33.21938	-93.15450	History	<a href='https://www.hmdb.org/m.asp?m=121240' target='_blank'>Visit the website</a> for more info.
Ashley County War Memorials	33.22615	-91.79689	History	<a href='https://www.hmdb.org/m.asp?m=108565' target='_blank'>Visit the website</a> for more info.
Ashley County Court House	33.22618	-91.79739	History	<a href='https://www.hmdb.org/m.asp?m=107740' target='_blank'>Visit the website</a> for more info.
Ashley County in the Civil War	33.22700	-91.79574	History	Thirteen companies were raised and organized in Ashley County for Confederate service during the Civil War: Co. F, 2nd Arkansas Cavalry; Cos. A, B, K and L, 3rd Arkansas Infantry; Co. F, 8th Arkansas Infantry Battalion; Co. K, 9th Arkansas Infantry; Cos. G and H, 12th Arkansas Cavalry; Cos. A and G, 37th Arkansas Infantry; Co. A, 13th Louisiana Partisan Rangers, and Tiner's Co. Home Guards. The only combat in the county was a March 30, 1864, skirmish at Longview in which Union cavalry surprised a Confederate force, capturing 260 soldiers.
Ashley County in the Civil War / 3rd Arkansas Infantry Regiment	33.22708	-91.79575	History	<a href='https://www.hmdb.org/m.asp?m=107691' target='_blank'>Visit the website</a> for more info.
Lakeport in the Civil War	33.25684	-91.15525	History	Side 1 When Arkansas went to war in 1861, Lycurgus and Lydia Johnson and their family stayed with their home at Lakeport. By 1862, U.S. gunboats were common on the Mississippi River, and on Sept. 6, 1862, Confederate troops burned 158 bales of cotton at Lakeport to prevent its seizure. Union raids targeted plantations such as Lakeport in 1863 and 1864, and the Johnsons claimed losses of 200 cattle, 8 mules and 2 horses, leaving'one mule...to haul wood for the children.' The family's slaves also sought freedom, and only 24 of 155 slaves remained here by 1864. (Continued on other side) Side 2 (Continued from other side) As the war wore on, Lycurgus Johnson joined many other delta plantation owners engaging in trade with Union forces, selling rope and bagging in exchange for cotton, cash and supplies. When the Civil War ended in 1865, the Johnsons still owned their home at Lakeport, but the value of their property had plummeted from $171,581 in 1860 to only $18,556 in 1865. Lycurgus Johnson adapted to the new conditions during Reconstruction and hired former slaves to work his fields. His fairness led the Freedmen's Bureau to call him a'model man of Chicot County.'
Lakeport in the Civil War	33.25684	-91.15525	History	<a href='https://www.hmdb.org/m.asp?m=89797' target='_blank'>Visit the website</a> for more info.
Lakeport in the Civil War	33.25699	-91.15534	History	When Arkansas went to war in 1861, Lycurgus and Lydia Johnson and their family stayed with their home at Lakeport. By 1862, U.S. gunboats were common on the Mississippi River, and on Sept. 6, 1862, Confederate troops burned 158 bales of cotton at Lakeport to prevent its seizure. Union raids targeted plantations such as Lakeport in 1863 and 1864, and the Johnsons claimed losses of 200 cattle, 8 mules and 2 horses, leaving one mule_to haul wood for the children. The familys slaves also sought freedom, and only 24 of 155 slaves remained here by 1864.  As the war wore on, Lycurgus Johnson joined many other delta plantation owners engaging in trade with Union forces, selling rope and bagging in exchange for cotton, cash and supplies. When the Civil War ended in 1865, the Johnsons still owned their home at Lakeport, but the value of their property had plummeted from $171,581 in 1860 to only $18,556 in 1865. Lycurgus Johnson adapted to the new conditions during Reconstruction and hired former slaves to work his fields. His fairness led the Freedmens Bureau to call him a model man of Chicot County.
Lakeport Plantation House	33.25699	-91.15509	History	Side 1 The Lakeport Plantation house was constructed circa 1859 for Lycurgus and Lydia Taylor Johnson. The skilled craftsmanship and lasting character are testaments to those who built the house. It is preserved in remembrance of all who lived and worked on the plantation. Side 2 The survival of Lakeport Plantation is a tribute to the Sam Epstein family, who acquired the property in 1927. Listed on the National Register of Historical Places in 1974, it was gifted to Arkansas State University in 2001 by the Sam Epstein Angel family as a legacy for future generations.
Lakeport Plantation House	33.25699	-91.15509	History	<a href='https://www.hmdb.org/m.asp?m=90491' target='_blank'>Visit the website</a> for more info.
Gen. John Porter McCown	33.26066	-93.24111	History	<a href='https://www.hmdb.org/m.asp?m=121139' target='_blank'>Visit the website</a> for more info.
Gen. John Porter McCown	33.26099	-93.24069	History	John P. McCown was born Aug. 19, 1815, in Sevierville, Tenn. An 1840 graduate of West Point, he served in the Mexican and Seminole wars before resigning from the U.S. Army on May 17, 1861. McCown joined the Confederate army, rising to the rank of major general. He served in Missouri and Tennessee, leading a division that included an Arkansas brigade at Stones River. After the war he moved to Magnolia and after his death Jan. 22, 1879, was buried in City Cemetery. His brother, G.W. McCown, a C.S. veteran, also lies there.
Brief Moments in Fouke History	33.26148	-93.88446	History	<a href='https://www.hmdb.org/m.asp?m=173676' target='_blank'>Visit the website</a> for more info.
Brief Moments in Fouke History	33.26151	-93.88444	History	<a href='https://www.hmdb.org/m.asp?m=173500' target='_blank'>Visit the website</a> for more info.
Columbia County Courthouse	33.26700	-93.24104	History	<a href='https://www.hmdb.org/m.asp?m=121341' target='_blank'>Visit the website</a> for more info.
Columbia County Courthouse	33.26713	-93.24070	History	<a href='https://www.hmdb.org/m.asp?m=121408' target='_blank'>Visit the website</a> for more info.
The Casualties at Ditch Bayou June 6, 1864	33.26954	-91.22214	History	The battle at Ditch Bayou was a Federal effort to drive Confederates away from the Mississippi River, where the Confederates had been harassing Union shipping. Even though the Confederates were outnumbered here, they were able to inflict heavy damage to their enemy. They had the advantage of six cannons, the protection of heavy timber and knowledge of the area. Muddy conditions caused the Northern infantry to attack across an open field without artillery support. After crossing the field under heavy fire, they discovered that they were trapped in the open field and were separated from the Confederates by Ditch Bayou. Union losses were 33 killed, 98 wounded, and one missing. Notice that their heaviest casualties were directly opposite the Confederate artillery. The Confederate losses included four killed and 33 wounded. Most of their casualties were in the artillery units where the Union troops concentrated their fire.
The Battle at Ditch Bayou	33.26954	-91.22215	History	<a href='https://www.hmdb.org/m.asp?m=90432' target='_blank'>Visit the website</a> for more info.
The Casualties at Ditch Bayou June 6, 1864	33.26954	-91.22214	History	<a href='https://www.hmdb.org/m.asp?m=90418' target='_blank'>Visit the website</a> for more info.
The Battle at Ditch Bayou	33.26954	-91.22215	History	It is the morning of June 6, 1864. Rain has created a muddy mess. To your left are four cannon. To your right are 600 cavalrymen and two more cannon. These men served under Confederate Colonel Colten Greene. To your front is Ditch Bayou, and 700 yards beyond that 3,000 troops under Union Major General A.J. Smith. Among them is the 8th Wisconsin with its mascot, Old Abe, the War Eagle. As the Union troops advance, the cannon thunder with grape and canister. The seasoned troops closed the gaps in their line and keep coming. They poured volley after volley toward their position. However, most of the Confederate troops are hidden in trees while the Union soldiers are caught in the open. The battle rages for six hours. The mile-long Federal line reaches the edge of the bayou. They have suffered high casualties, 132 killed, wounded, or missing. Federal losses would be higher had the black powder smoke not created a protective fog. Finally, ammunition dwindling, the Confederates make an orderly withdrawal and march past Lake Village. They have only four killed and 33 wounded. The Union troops bury their 33 dead on the battlefield and carry their wounded into town. Some of the seriously wounded men suffer for months until they die in a hospital. This was the largest battle to occur in Chicot County and the last significant battle on Arkansas soil.
Saunders-Pettit-Chapman-Cook Plantation Home	33.27561	-91.24564	History	<a href='https://www.hmdb.org/m.asp?m=107737' target='_blank'>Visit the website</a> for more info.
Mount Holly Cemetery	33.30070	-92.94896	History	Mount Holly Cemetery is the final resting place of 15 Confederate soldiers, including Asa S. Morgan, who in 1861 recruited the El Dorado Sentinels, which became Co. A, 1st Arkansas Infantry. Morgan later served as colonel of the 26th Arkansas Infantry, a regiment that saw action at Prairie Grove on Dec. 7, 1862, and Devils Backbone on Sept. 1, 1863. In 1864-65, Morgan became inspector of field transportation for the Trans-Mississippi Department. Morgan was Camdens postmaster, a planter, and state legislator in the years after the war.
Mount Holly Cemetery	33.30074	-92.94836	History	<a href='https://www.hmdb.org/m.asp?m=121172' target='_blank'>Visit the website</a> for more info.
Mount Holly, Birthplace of Arkansas Governor Thomas C. McRae, 1921-1925	33.30196	-92.95466	History	<a href='https://www.hmdb.org/m.asp?m=121268' target='_blank'>Visit the website</a> for more info.
Italian Immigrants On Sunnyside Plantation	33.32977	-91.28213	History	In 1895 Austin Corbin, a New York banker and land developer, working with immigration officials brought 100 families from north central Italy to grow cotton at Sunnyside, a plantation located between the Mississippi River and Lake Chicot. These Italians struggled against exploitation, prejudice and language barriers, and many died of malaria and other lowland diseases. Many of their descendants are now among the leading citizens of Arkansas and the nation.
Italian Immigrants On Sunnyside Plantation	33.32977	-91.28213	History	<a href='https://www.hmdb.org/m.asp?m=89774' target='_blank'>Visit the website</a> for more info.
New Hope Missionary Baptist Church	33.33006	-91.28715	History	Jim Kelley, a slave, organized this church in 1860. His owner allowed the use of this plot of this plot of ground on which to build a church. On May 15, 1873, Mr. and Mrs. William B. Street deeded the property to the trustees of the church. New Hope Missionary Baptist Church claims to the the oldest Black church in the State of Arkansas.
New Hope Missionary Baptist Church	33.33006	-91.28715	History	<a href='https://www.hmdb.org/m.asp?m=89777' target='_blank'>Visit the website</a> for more info.
Chicot County Confederate Monument	33.33133	-91.28164	History	<a href='https://www.hmdb.org/m.asp?m=90255' target='_blank'>Visit the website</a> for more info.
Chicot County Confederate Monument	33.33133	-91.28164	History	Front (West side)'To the Confederate soldiers of Chicot County, the record of whose sublime self sacrifice and undying devotion is the proud heritage of a loyal posterity.' Rear (East side) We care not whence they came, Dear, in lifeless clay Whether unknown or known to fame, their cause and coun- try still the same, they died and wore the gray. Father Ryan. Erected by the Captain McConnell and George K. Cracraft Chapters U.D.C. A.D., 1910. and Chicot County
Chicot County	33.33137	-91.28182	History	The county seat of Chicot County was located at Columbia in 1823, where it remained until 1855. The county took its name from Point Chicot, on the Mississippi.
Chicot County	33.33137	-91.28182	History	<a href='https://www.hmdb.org/m.asp?m=89773' target='_blank'>Visit the website</a> for more info.
Pioneering Legislators	33.35090	-93.49270	History	Three African American men represented Lafayette County in the state legislature after the Civil War. Monroe Hawkins, born a slave in North Carolina around 1832, was a minister and laborer. He was a delegate in the 1868 Constitutional Convention and served in the Arkansas House in 1868-69, 1873 and 1874. Conway Barbour, born a slave in Virginia in 1818, was an insurance agent in 1870 and served in the House of Representatives in 1871. Marshall Murray, born in Alabama in 1856, was a professor who served in the House in the 1883 session.
Pioneering Legislators	33.35092	-93.49277	History	<a href='https://www.hmdb.org/m.asp?m=121211' target='_blank'>Visit the website</a> for more info.
In Memoriam Hyner Cemetery	33.35316	-91.20949	History	<a href='https://www.hmdb.org/m.asp?m=168476' target='_blank'>Visit the website</a> for more info.
Colonel Charles A. Lindbergh	33.35446	-91.26836	History	<a href='https://www.hmdb.org/m.asp?m=89779' target='_blank'>Visit the website</a> for more info.
Colonel Charles A. Lindbergh	33.35446	-91.26836	History	In April 1923 Lindbergh, then an unknown 21-year-old mail pilot, experienced engine trouble and landed his airplane on the now-abandoned golf course behind this site of the old Lake Village County Club. He remained in Lake Village overnight. During the evening he took his host, Mr. Henry, for a moonlit flight down the Mississippi and over Lake Village. It was the first time that Lindbergh had flown after dark.
Col. Charles A. Lindbergh	33.35449	-91.26843	History	Col. Charles A. Lindbergh Made his first night flight here April 1923
Col. Charles A. Lindbergh	33.35449	-91.26843	History	<a href='https://www.hmdb.org/m.asp?m=89780' target='_blank'>Visit the website</a> for more info.
Lafayette County Veterans Memorial	33.35732	-93.57654	History	<a href='https://www.hmdb.org/m.asp?m=178805' target='_blank'>Visit the website</a> for more info.
Lafayette County Court House	33.35735	-93.57751	History	<a href='https://www.hmdb.org/m.asp?m=178710' target='_blank'>Visit the website</a> for more info.
Clyde L. Smackover Scott	33.36466	-92.72509	History	<a href='https://www.hmdb.org/m.asp?m=121409' target='_blank'>Visit the website</a> for more info.
Engagement at Poison Springs	33.36472	-92.72472	History	Here on April 18, 1864 a Union forage train of 200 wagons escorted by 1170 men was attacked and captured by Confederate troops commanded by Generals John S. Marmaduke and Samuel B. Maxey. The wagons were loaded with corn for the Union army of General Frederick Steele encamped at Camden. Loss of these supplies helped to hasten Steeles retreat to his base in Little Rock. The Union loss at Poison Springs was 301 men killed, wounded, and missing. Confederate casualties totaled 114 men.
Columbia	33.37207	-91.19566	History	<a href='https://www.hmdb.org/m.asp?m=167545' target='_blank'>Visit the website</a> for more info.
Drew County Troops	33.37363	-91.47294	History	"Sixteen Confederate companies were raised in Drew County during the Civil War. Two, the Confederate Stars and Selma Rifles, joined the 3rd Arkansas Infantry and fought with the Army of Northern Virginia. Three, the Cut-off Guards, Confederate Graysand Dixie Guards, joined the 9th Arkansas Infantry, dubbed the Parsons Regimentbecause it held 42 ministers. The Monticello Guards of the 1st Arkansas Infantry and Monticello Cavalry of the 6th Battalion were raised in Drew County. All of these fought battles east of the Mississippi River. Arkansas Civil War Sesquicentennial Commission Col. William F. Slemons Chapter 977, United Daughters of the Confederacy Arkansas Natural and Cultural Resources Council Several Drew County companies served west of the Mississippi River. Co. L of Fagan's Cavalry enlisted in Monticello May 12, 1862. Companies A, B and E of the 26th Arkansas Infantry Regiment joined the Confederate army in May 1862. The Drew County Grays of the 24th Arkansas Infantry joined June 16,
1862. They were captured at Arkansas Post in January 1863 and after leaving Union captivity served the rest of the war with the Army of Tennessee. Drew County men formed Companies B and C, 12th Arkansas Cavalry, and the Monticello Home Guards in late 1863."
Columbia County Lamartine Pioneer Settlement	33.39346	-93.28886	History	<a href='https://www.hmdb.org/m.asp?m=121136' target='_blank'>Visit the website</a> for more info.
Jerome Relocation Center	33.41183	-91.46195	History	<a href='https://www.hmdb.org/m.asp?m=170318' target='_blank'>Visit the website</a> for more info.
Confederate Records Stored at Rondo	33.44465	-93.96754	History	When Gen. Frederick Steeles Union army invaded southwest Arkansas in April 1864, threatening the Confederate state capital at Washington, Gov. Harris Flanagin moved the state archives to Rondo, where they were deposited in James Abrahams store. Editor John Eakin moved the press and type for the Washington Telegraph to Rondo for safekeeping during the Union invasion. Some of the Confederate soldiers detailed to guard the government records died and were buried in the Rondo cemetery before the records were returned to Washington.
Confederate Records Stored at Rondo	33.44649	-93.96771	History	When Gen. Frederick Steele's Union army invaded southwest Arkansas in April 1864, threatening the Confederate state capital at Washington, Gov. Harris Flanagin moved the state archives to Rondo, where they were deposited in James Abraham's store. Editor John Eakin moved the press and type for the Washington Telegraph to Rondo for safekeeping during the Union Invasion. Some of the Confederate soldiers detailed to guard the government records died and were buried in the Rondo cemetery before the records were returned to Washington.
Confederate Records Stored at Rondo	33.44649	-93.96771	History	<a href='https://www.hmdb.org/m.asp?m=96022' target='_blank'>Visit the website</a> for more info.
AF 45-35160	33.47320	-92.80780	History	<a href='https://www.hmdb.org/m.asp?m=212209' target='_blank'>Visit the website</a> for more info.
Dooleys Ferry/Dooley Hill Cemetery	33.50722	-93.70047	History	Dooley's Ferry was settled around 1830 at a crossing of the Red River into Texas. The Confederate army moved troops and supplies through here to serve military and civilian needs. Recognizing the area's importance, Confederate Gen. John B. Magruder ordered fortifications built on the high ground above the crossing. Soldiers labored in late 1864 and early 1865 to construct a network of earthworks that stretched more than a mile between Red Lake and Clear Lake. The works were never tested in battle. Dooley's Ferry ceased its operations in the 1930s.
Early Railroads in Chicot County	33.52804	-91.43334	History	<a href='https://www.hmdb.org/m.asp?m=229488' target='_blank'>Visit the website</a> for more info.
Calhoun County in the Civil War	33.53750	-92.47251	History	<a href='https://www.hmdb.org/m.asp?m=200670' target='_blank'>Visit the website</a> for more info.
Fort Diamond	33.57430	-92.81651	History	<a href='https://www.hmdb.org/m.asp?m=200821' target='_blank'>Visit the website</a> for more info.
Fort Southerland	33.58021	-92.83392	History	<a href='https://www.hmdb.org/m.asp?m=200813' target='_blank'>Visit the website</a> for more info.
Ouachita County Desert Storm Memorial	33.58435	-92.83009	History	<a href='https://www.hmdb.org/m.asp?m=201088' target='_blank'>Visit the website</a> for more info.
Ecore A-Fabre or Fabre’s Bluff	33.58457	-92.83044	History	<a href='https://www.hmdb.org/m.asp?m=107081' target='_blank'>Visit the website</a> for more info.
To Our Confederate Women	33.58457	-92.83070	History	<a href='https://www.hmdb.org/m.asp?m=106934' target='_blank'>Visit the website</a> for more info.
Fort Simmons	33.58848	-92.83806	History	<a href='https://www.hmdb.org/m.asp?m=200805' target='_blank'>Visit the website</a> for more info.
Camden Water Battle	33.59230	-92.82157	History	<a href='https://www.hmdb.org/m.asp?m=106889' target='_blank'>Visit the website</a> for more info.
Redoubt B	33.59442	-92.83686	History	<a href='https://www.hmdb.org/m.asp?m=200802' target='_blank'>Visit the website</a> for more info.
1st Kansas Colored Infantry	33.59552	-92.89290	History	The 1st Kansas Colored Infantry, a regiment that included many former Arkansas slaves, was formed in August 1862, the first black unit recruited during the war. 1st Kansas troops were the first black men to see combat, losing 10 killed and 12 wounded in a victory at Island Mound, Mo., Oct. 28, 1862. Victories at Cabin Creek and Honey Springs, Indian Territory, followed in 1863. The 1st Kansas lost 117 dead and 65 wounded at Poison Spring, Ark., April 18, 1864 many men were slain as they lay wounded after the battle, killed by Confederate troops.
Fort Lookout	33.59825	-92.83323	History	<a href='https://www.hmdb.org/m.asp?m=200797' target='_blank'>Visit the website</a> for more info.
Bradley County Court House	33.61457	-92.06390	History	<a href='https://www.hmdb.org/m.asp?m=121054' target='_blank'>Visit the website</a> for more info.
Bradley County Troops	33.61660	-92.06550	History	Several companies of Confederate troops were raised in Bradley County during the Civil War. Bradley County men served in companies of the 2nd, 6th and 12th Arkansas Cavalry Regiments and the 2nd, 5th, 9th, 20th, 24th and 26th Arkansas Infantry Regiments, as well as Crawford's Arkansas Infantry Battalion and Capt. Parker's Co. Mounted Volunteers. Many of the men fought east of the Mississippi River in Tennessee, Georgia and Mississippi while others served in the Trans-Mississippi, marching and fighting battles in Arkansas and neighboring states.
Drew County Troops	33.62677	-91.79152	History	<a href='https://www.hmdb.org/m.asp?m=85087' target='_blank'>Visit the website</a> for more info.
Drew County Troops	33.62677	-91.79152	History	(side 1) Sixteen Confederate companies were raised in Drew County during the Civil War. Two, the'Confederate Stars' and'Selma Rifles,' joined the 3rd Arkansas Infantry and fought with the Army of Northern Virginia. Three, the'Cut-off Guards, ' 'Confederate Grays' and'Dixie Guards,' joined the 9th Arkansas Infantry, dubbed the'Parsons Regiment' because it held 42 ministers. The'Monticello Guards' of the 1st Arkansas Infantry and'Monticello Cavalry' of the 6th Battalion were raised in Drew County. All of these fought battles east of the Mississippi River. (Continued on other side) (side 2) (Continued from other side) Several Drew County companies served west of the Mississippi River. Co. L of Fagan's Cavalry enlisted in Monticello May 12, 1862. Companies A, B and E of the 26th Arkansas Infantry joined June 16, 1862. They were captured at Arkansas Post in January 1863 and after leaving Union captivity served the rest of the war with the Army of Tennessee. Drew County men formed Companies B and C, 12th Arkansas Cavalry, and the Monticello Home Guards in late 1863.
Walls of War	33.62687	-91.79128	History	Erected by the citizens of Drew County in honor of all who served or who may serve and dedicated to those who gave their lives that we might be free. Veterans Day 1988. World War I B.C. Bast, George F. Cater, Chisley Garrison, Forrest Johnson, Oscar G. Miles World War II Henry K. Adcock, Odell Allison, Thomas E. Andrews, Malon Barnes, Levert W. Bell Jr., Robert J. Brewster, Lawrence Brookings Jr., Allen D. Brown, Edward B. Brown, Earl Burton, Kennon L. Chapman, Marvin Clayton, Jeff D. Cortney, Thomas W. Croxton Jr., Roy Davidson, Travis L. Dickson, William G. Dickson, Alfonso G. Edwards, William J. Etheridge, Herbert E. Ferguson, Rodney S. Foss, John H. Free, Hugh L. Herring, Duel Hollinger, Lloyd T. Hudgins, Edgar L. Hunter, Jasper Jenkins, Leo T. Kikuchi, Lee L. Leonard, Basil K. Manning, Alex Martin, Hollis A. Martin, Oscar W. Miles, Howard W. Morgan, Clarence D. Moss, Eso Masuda, Henry S. Prewitt, James L. Pennington, Clifton F. Phillips, Eugene Sanderlin, James E. Shreve, Paul S. Stegall, James E. Stever, Fay L. Straughn, Milton C. Thompson, Herman H. Vining, Oscar G. Wells, Revell D. West, James D. White, James P. White, Carlton O. Wilson, Lonie L. Wolfe, Julian T.W. Tillar Korean War Henry L. Beckham, Billie Birch, Carl A. Jacobs, Arvell H. Morris, Willie C. Shaw Vietnam War Fred B. Craddock Jr., Donald W. Edney, Jerry D. Everett, Walter Gunn Jr., Ricks A. Hutson, Glennon Marcussen, Johnny M. Pamphlin, Jesse B. Rose, Jimmie P. Wall, Garry W. Ward
Walls of War	33.62687	-91.79128	History	<a href='https://www.hmdb.org/m.asp?m=85089' target='_blank'>Visit the website</a> for more info.
Drew County	33.62699	-91.79153	History	Drew County, named for Governor Thomas S. Drew, was organized in 1845 and Monticello was laid out in 1849 as the county seat. Many pioneer families whose sons and daughters became prominent in the affairs of State and Nation lived here.
Drew County	33.62699	-91.79153	History	<a href='https://www.hmdb.org/m.asp?m=85085' target='_blank'>Visit the website</a> for more info.
The Crepe Myrtles on Seamans Drive	33.62827	-91.39592	History	<a href='https://www.hmdb.org/m.asp?m=229497' target='_blank'>Visit the website</a> for more info.
First Church and School in McGehee	33.62909	-91.39735	History	<a href='https://www.hmdb.org/m.asp?m=229500' target='_blank'>Visit the website</a> for more info.
Monticello Confederate Monument	33.63447	-91.79802	History	To the Confederate Soldiers of Drew County. 18611865 Furl that banner! True,'tis gory, yet'tis wreathed around with glory, and'twill live in song and story, though its folds are in the dust. Father Ryan'Lest We Forget.'
Monticello Confederate Monument	33.63447	-91.79802	History	<a href='https://www.hmdb.org/m.asp?m=85093' target='_blank'>Visit the website</a> for more info.
Confederate Camp at Richmond / Richmond Church --	33.63821	-94.18381	History	On Aug. 28, 1864, Confederate Gen. Sterling Price led an army from Camden on a raid that took them through Missouri, Kansas and the Indian Territory before they returned to Arkansas at Laynesport in Little River County on Dec. 2, having suffered heavy losses. Many of Prices Missouri troops established a camp at Richmond on Dec. 5, recovering from the campaigns rigors while waiting to learn where their winter camp would be located. The Confederate troops left their camp at Richmond on Dec. 24 to join the rest of the army at Washington.
The Battle of Poison Springs.	33.63878	-93.00440	History	<a href='https://www.hmdb.org/m.asp?m=242741' target='_blank'>Visit the website</a> for more info.
Ouachita County Poison Springs Battlefield	33.63881	-93.00401	History	<a href='https://www.hmdb.org/m.asp?m=242743' target='_blank'>Visit the website</a> for more info.
Confederate and Federal Forces Engage	33.63886	-93.00435	History	<a href='https://www.hmdb.org/m.asp?m=201023' target='_blank'>Visit the website</a> for more info.
Confederate Camp at Richmond / Richmond Church and Cemetery	33.63887	-94.18369	History	<a href='https://www.hmdb.org/m.asp?m=121143' target='_blank'>Visit the website</a> for more info.
Forage Party Routed!	33.63887	-93.00433	History	<a href='https://www.hmdb.org/m.asp?m=201024' target='_blank'>Visit the website</a> for more info.
Order of Battle	33.63887	-93.00430	History	<a href='https://www.hmdb.org/m.asp?m=201026' target='_blank'>Visit the website</a> for more info.
Federal Forage Party Departs Camden April 17, 1864	33.63888	-93.00434	History	<a href='https://www.hmdb.org/m.asp?m=201020' target='_blank'>Visit the website</a> for more info.
The Civil War Battle of Poison Spring - April 18, 1864	33.63888	-93.00432	History	<a href='https://www.hmdb.org/m.asp?m=201019' target='_blank'>Visit the website</a> for more info.
The First Kansas	33.63888	-93.00433	History	<a href='https://www.hmdb.org/m.asp?m=201025' target='_blank'>Visit the website</a> for more info.
Engagement at Poison Springs	33.63912	-93.00452	History	<a href='https://www.hmdb.org/m.asp?m=242745' target='_blank'>Visit the website</a> for more info.
1st Kansas Colored Infantry	33.65176	-92.96903	History	The 1st Kansas Colored Infantry, a regiment that included many former Arkansas slaves, was formed in August 1862, the first black unit recruited during the war. 1st Kansas troops were the first black men to see combat, losing 10 killed and 12 wounded in a victory at Island Mound, Mo., Oct. 28, 1862. Victories at Cabin Creek and Honey Springs, Indian Territory, followed in 1863. The 1st Kansas lost 117 dead and 65 wounded at Poison Spring, Ark., April 18, 1864; many men were slain as they lay wounded after the battle, killed by Confederate troops.
1st Kansas Colored Infantry	33.65263	-92.97068	History	<a href='https://www.hmdb.org/m.asp?m=56624' target='_blank'>Visit the website</a> for more info.
Boyhood Home Of Bill Clinton	33.65729	-93.58506	History	<a href='https://www.hmdb.org/m.asp?m=159746' target='_blank'>Visit the website</a> for more info.
I Still Believe In A Place Called Hope	33.66722	-93.59639	History	<a href='https://www.hmdb.org/m.asp?m=161922' target='_blank'>Visit the website</a> for more info.
William Jefferson Clinton	33.66760	-93.59670	History	Dedicated March 12, 1999. Mike Huckabee Governor, Jim Hill State Senator, Sandra Rodgers State Representative. Major Benefactors-Century Tube, Inc, Swepco, Entergy, Sanyo Manufacturing Corp, Future Tech Intel, Nina Wang, Ben & Martha Bryant, Nissan North America, Reliant Energy Arkla, International Paper Co., Dr Elias & Jody Ghanam Family, Selma & Walter Kaye, United Parcel Service.
William Jefferson Clinton	33.66760	-93.59670	History	<a href='https://www.hmdb.org/m.asp?m=61796' target='_blank'>Visit the website</a> for more info.
All Aboard	33.66775	-93.59254	History	<a href='https://www.hmdb.org/m.asp?m=246093' target='_blank'>Visit the website</a> for more info.
Mail Pole	33.66884	-93.59286	History	<a href='https://www.hmdb.org/m.asp?m=161919' target='_blank'>Visit the website</a> for more info.
Merchants Of Hope	33.66887	-93.59249	History	<a href='https://www.hmdb.org/m.asp?m=161920' target='_blank'>Visit the website</a> for more info.
